image,pc_latency_ms,luckfox_latency_ms,pc_detections,luckfox_detections,luckfox_status,updated_at,Lane_1_pc,Lane_2_pc,Lane_3_pc,Lane_1_luckfox,Lane_2_luckfox,Lane_3_luckfox
img00060.jpg,37.537,0.000,7,0,SSH not ready for root@192.168.1.150. Verify: ssh root@192.168.1.150,2026-04-26T14:49:14,3,0,4,0,0,0
img00061.jpg,33.894,0.000,7,0,SSH not ready for root@192.168.1.150. Verify: ssh root@192.168.1.150,2026-04-26T14:49:14,3,0,4,0,0,0
img00062.jpg,33.745,0.000,7,0,SSH not ready for root@192.168.1.150. Verify: ssh root@192.168.1.150,2026-04-26T14:49:14,3,0,4,0,0,0
img00063.jpg,37.548,0.000,7,0,SSH not ready for root@192.168.1.150. Verify: ssh root@192.168.1.150,2026-04-26T14:49:15,3,0,4,0,0,0
img00064.jpg,34.626,0.000,7,0,SSH not ready for root@192.168.1.150. Verify: ssh root@192.168.1.150,2026-04-26T14:49:15,3,0,4,0,0,0
img00065.jpg,34.038,0.000,7,0,SSH not ready for root@192.168.1.150. Verify: ssh root@192.168.1.150,2026-04-26T14:49:15,3,0,4,0,0,0
img00066.jpg,33.797,0.000,6,0,SSH not ready for root@192.168.1.150. Verify: ssh root@192.168.1.150,2026-04-26T14:49:15,2,0,4,0,0,0
img00067.jpg,34.290,0.000,6,0,SSH not ready for root@192.168.1.150. Verify: ssh root@192.168.1.150,2026-04-26T14:49:15,2,0,4,0,0,0
img00068.jpg,33.407,0.000,6,0,SSH not ready for root@192.168.1.150. Verify: ssh root@192.168.1.150,2026-04-26T14:49:15,2,0,4,0,0,0
img00069.jpg,34.331,0.000,5,0,SSH not ready for root@192.168.1.150. Verify: ssh root@192.168.1.150,2026-04-26T14:49:15,1,0,4,0,0,0
img00070.jpg,34.560,0.000,5,0,SSH not ready for root@192.168.1.150. Verify: ssh root@192.168.1.150,2026-04-26T14:49:15,1,0,4,0,0,0
img00071.jpg,32.671,0.000,6,0,SSH not ready for root@192.168.1.150. Verify: ssh root@192.168.1.150,2026-04-26T14:49:15,1,0,5,0,0,0
img00072.jpg,34.162,0.000,5,0,SSH not ready for root@192.168.1.150. Verify: ssh root@192.168.1.150,2026-04-26T14:49:15,1,0,4,0,0,0
img00073.jpg,33.924,0.000,5,0,SSH not ready for root@192.168.1.150. Verify: ssh root@192.168.1.150,2026-04-26T14:49:15,1,0,4,0,0,0
img00074.jpg,35.364,0.000,6,0,SSH not ready for root@192.168.1.150. Verify: ssh root@192.168.1.150,2026-04-26T14:49:15,2,0,4,0,0,0
img00075.jpg,34.575,0.000,5,0,SSH not ready for root@192.168.1.150. Verify: ssh root@192.168.1.150,2026-04-26T14:49:15,1,0,4,0,0,0
img00076.jpg,34.409,0.000,5,0,SSH not ready for root@192.168.1.150. Verify: ssh root@192.168.1.150,2026-04-26T14:49:15,1,0,4,0,0,0
img00077.jpg,32.935,0.000,5,0,SSH not ready for root@192.168.1.150. Verify: ssh root@192.168.1.150,2026-04-26T14:49:15,1,0,4,0,0,0
img00078.jpg,34.283,0.000,6,0,SSH not ready for root@192.168.1.150. Verify: ssh root@192.168.1.150,2026-04-26T14:49:15,2,0,4,0,0,0
img00079.jpg,32.689,0.000,6,0,SSH not ready for root@192.168.1.150. Verify: ssh root@192.168.1.150,2026-04-26T14:49:15,1,0,5,0,0,0
