image,pc_detections,luckfox_detections,diff_luckfox_minus_pc,abs_diff,luckfox_status,Lane_1_pc,Lane_1_luckfox,Lane_2_pc,Lane_2_luckfox,Lane_3_pc,Lane_3_luckfox
img00072.jpg,6,4,-2,2,OK,2.0,1.0,0.0,0.0,4.0,3.0
img00073.jpg,6,5,-1,1,OK,2.0,1.0,0.0,0.0,4.0,4.0
img00074.jpg,6,5,-1,1,OK,2.0,2.0,0.0,0.0,4.0,3.0
img00075.jpg,6,5,-1,1,OK,2.0,2.0,0.0,0.0,4.0,3.0
img00076.jpg,6,5,-1,1,OK,2.0,2.0,0.0,0.0,4.0,3.0
img00077.jpg,6,5,-1,1,OK,2.0,2.0,0.0,0.0,4.0,3.0
img00078.jpg,7,5,-2,2,OK,2.0,2.0,0.0,0.0,5.0,3.0
img00079.jpg,6,5,-1,1,OK,2.0,2.0,0.0,0.0,4.0,3.0
img00080.jpg,7,5,-2,2,OK,2.0,1.0,0.0,0.0,5.0,4.0
img00081.jpg,7,5,-2,2,OK,2.0,1.0,0.0,0.0,5.0,4.0
img00082.jpg,6,6,0,0,OK,2.0,1.0,0.0,0.0,4.0,5.0
img00083.jpg,6,5,-1,1,OK,2.0,1.0,0.0,0.0,4.0,4.0
img00084.jpg,5,6,1,1,OK,1.0,2.0,0.0,0.0,4.0,4.0
img00085.jpg,6,7,1,1,OK,1.0,2.0,0.0,0.0,5.0,5.0
img00086.jpg,5,7,2,2,OK,1.0,2.0,0.0,0.0,4.0,5.0
img00087.jpg,6,8,2,2,OK,2.0,2.0,0.0,0.0,4.0,6.0
img00088.jpg,5,5,0,0,OK,1.0,1.0,0.0,0.0,4.0,4.0
img00089.jpg,6,6,0,0,OK,2.0,1.0,0.0,0.0,4.0,5.0
img00090.jpg,5,6,1,1,OK,1.0,2.0,0.0,0.0,4.0,4.0
img00091.jpg,5,6,1,1,OK,1.0,1.0,0.0,0.0,4.0,5.0
img00092.jpg,7,6,-1,1,OK,2.0,2.0,1.0,0.0,4.0,4.0
img00093.jpg,7,7,0,0,OK,2.0,2.0,1.0,1.0,4.0,4.0
img00094.jpg,7,6,-1,1,OK,2.0,1.0,1.0,1.0,4.0,4.0
img00095.jpg,8,8,0,0,OK,3.0,3.0,1.0,1.0,4.0,4.0
img00096.jpg,7,8,1,1,OK,2.0,3.0,1.0,1.0,4.0,4.0
img00097.jpg,7,8,1,1,OK,2.0,3.0,1.0,1.0,4.0,4.0
img00098.jpg,8,9,1,1,OK,3.0,4.0,1.0,1.0,4.0,4.0
img00099.jpg,7,6,-1,1,OK,2.0,1.0,1.0,1.0,4.0,4.0
img00100.jpg,7,7,0,0,OK,2.0,2.0,1.0,1.0,4.0,4.0
img00101.jpg,8,7,-1,1,OK,3.0,2.0,1.0,1.0,4.0,4.0
img00102.jpg,8,8,0,0,OK,3.0,3.0,1.0,1.0,4.0,4.0
img00103.jpg,8,7,-1,1,OK,3.0,2.0,1.0,1.0,4.0,4.0
img00104.jpg,7,6,-1,1,OK,2.0,1.0,1.0,1.0,4.0,4.0
img00105.jpg,7,7,0,0,OK,2.0,2.0,1.0,1.0,4.0,4.0
img00106.jpg,7,6,-1,1,OK,2.0,1.0,1.0,1.0,4.0,4.0
img00107.jpg,7,7,0,0,OK,2.0,2.0,1.0,1.0,4.0,4.0
img00108.jpg,8,8,0,0,OK,3.0,3.0,1.0,1.0,4.0,4.0
img00109.jpg,9,7,-2,2,OK,4.0,2.0,1.0,1.0,4.0,4.0
img00110.jpg,7,7,0,0,OK,2.0,2.0,1.0,1.0,4.0,4.0
img00111.jpg,8,9,1,1,OK,3.0,3.0,1.0,1.0,4.0,5.0
img00112.jpg,7,7,0,0,OK,2.0,2.0,1.0,1.0,4.0,4.0
img00113.jpg,8,7,-1,1,OK,3.0,2.0,1.0,1.0,4.0,4.0
img00114.jpg,8,7,-1,1,OK,3.0,2.0,1.0,1.0,4.0,4.0
img00115.jpg,8,7,-1,1,OK,3.0,2.0,1.0,1.0,4.0,4.0
img00116.jpg,9,7,-2,2,OK,4.0,2.0,1.0,1.0,4.0,4.0
img00117.jpg,9,9,0,0,OK,3.0,3.0,1.0,1.0,5.0,5.0
img00118.jpg,9,9,0,0,OK,3.0,3.0,1.0,1.0,5.0,5.0
img00119.jpg,9,8,-1,1,OK,3.0,2.0,1.0,1.0,5.0,5.0
img00120.jpg,9,8,-1,1,OK,3.0,2.0,1.0,1.0,5.0,5.0
img00121.jpg,10,7,-3,3,OK,4.0,1.0,1.0,1.0,5.0,5.0
img00122.jpg,10,7,-3,3,OK,4.0,1.0,1.0,1.0,5.0,5.0
img00123.jpg,8,7,-1,1,OK,2.0,1.0,1.0,1.0,5.0,5.0
img00124.jpg,10,8,-2,2,OK,4.0,2.0,1.0,1.0,5.0,5.0
img00125.jpg,8,8,0,0,OK,2.0,2.0,1.0,1.0,5.0,5.0
img00126.jpg,10,8,-2,2,OK,4.0,2.0,1.0,1.0,5.0,5.0
img00127.jpg,8,8,0,0,OK,2.0,2.0,1.0,1.0,5.0,5.0
img00128.jpg,8,8,0,0,OK,2.0,2.0,1.0,1.0,5.0,5.0
img00129.jpg,7,7,0,0,OK,1.0,1.0,1.0,1.0,5.0,5.0
img00130.jpg,7,7,0,0,OK,1.0,1.0,1.0,1.0,5.0,5.0
img00131.jpg,7,7,0,0,OK,1.0,1.0,1.0,1.0,5.0,5.0
img00132.jpg,7,8,1,1,OK,1.0,2.0,1.0,1.0,5.0,5.0
img00133.jpg,6,7,1,1,OK,1.0,1.0,1.0,1.0,4.0,5.0
img00134.jpg,6,7,1,1,OK,1.0,1.0,1.0,1.0,4.0,5.0
img00135.jpg,6,7,1,1,OK,1.0,2.0,1.0,1.0,4.0,4.0
img00136.jpg,5,7,2,2,OK,1.0,2.0,1.0,1.0,3.0,4.0
img00137.jpg,5,7,2,2,OK,1.0,2.0,1.0,1.0,3.0,4.0
img00138.jpg,5,6,1,1,OK,1.0,1.0,1.0,1.0,3.0,4.0
img00139.jpg,7,6,-1,1,OK,2.0,1.0,1.0,1.0,4.0,4.0
img00140.jpg,6,6,0,0,OK,1.0,1.0,1.0,1.0,4.0,4.0
img00141.jpg,6,7,1,1,OK,2.0,2.0,1.0,1.0,3.0,4.0
img00142.jpg,6,7,1,1,OK,1.0,2.0,1.0,1.0,4.0,4.0
img00143.jpg,5,6,1,1,OK,1.0,1.0,1.0,1.0,3.0,4.0
img00144.jpg,6,7,1,1,OK,1.0,2.0,1.0,1.0,4.0,4.0
img00145.jpg,7,6,-1,1,OK,2.0,1.0,1.0,1.0,4.0,4.0
img00146.jpg,6,6,0,0,OK,1.0,1.0,1.0,1.0,4.0,4.0
img00147.jpg,6,6,0,0,OK,1.0,1.0,1.0,1.0,4.0,4.0
img00148.jpg,6,5,-1,1,OK,1.0,0.0,1.0,1.0,4.0,4.0
img00149.jpg,6,5,-1,1,OK,1.0,0.0,1.0,1.0,4.0,4.0
img00150.jpg,6,8,2,2,OK,1.0,0.0,1.0,1.0,4.0,7.0
img00151.jpg,6,8,2,2,OK,1.0,1.0,1.0,1.0,4.0,6.0
img00152.jpg,6,8,2,2,OK,1.0,1.0,1.0,1.0,4.0,6.0
img00153.jpg,5,6,1,1,OK,0.0,0.0,1.0,1.0,4.0,5.0
img00154.jpg,7,6,-1,1,OK,1.0,0.0,2.0,1.0,4.0,5.0
