lane_name,point_index,x,y
Lane_1,0,112,403
Lane_1,1,273,413
Lane_1,2,498,73
Lane_1,3,465,68
Lane_2,0,274,413
Lane_2,1,449,426
Lane_2,2,537,84
Lane_2,3,498,72
Lane_3,0,641,424
Lane_3,1,817,408
Lane_3,2,624,82
Lane_3,3,581,80
